,Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards
82,77,Devin Cooley,26.0,SJS,G,6,6,2,3,1,25,192,167,0.87,4.98,0,301:29,2,0.333,3,135.0,-6.4,5.17,0.4,0,0,0,0,
83,78,Jiří Patera,24.0,VEG,G,6,5,1,3,1,21,196,175,0.893,3.98,0,316:46,2,0.4,0,111.0,-2.1,4.17,0.9,0,0,0,0,
84,79,Mads Søgaard,23.0,OTT,G,6,5,1,3,0,19,135,116,0.859,4.05,0,281:34,1,0.2,2,146.0,-6.0,4.26,0.2,0,0,0,0,
85,80,Matt Tomkins,29.0,TBL,G,6,6,3,2,1,20,185,165,0.892,3.33,0,360:13,1,0.167,0,112.0,-2.1,3.5,0.8,0,0,0,0,
86,81,Jack Campbell,32.0,EDM,G,5,5,1,4,0,20,157,137,0.873,4.5,0,266:47,1,0.2,2,132.0,-4.8,4.72,0.4,0,0,0,0,
87,82,Calvin Petersen,29.0,PHI,G,5,4,2,2,0,18,132,114,0.864,3.9,0,276:55,2,0.5,2,141.0,-5.2,4.12,0.2,0,0,0,0,
88,83,Felix Sandström,27.0,PHI,G,5,3,1,2,0,17,96,79,0.823,3.87,0,263:29,1,0.333,2,183.0,-7.7,4.1,-0.2,0,0,0,0,
89,84,Hunter Shepard,28.0,WSH,G,4,4,2,1,1,13,123,110,0.894,3.19,0,244:50,2,0.5,2,109.0,-1.1,3.19,0.6,0,0,0,0,
90,85,Arturs Silovs,22.0,VAN,G,4,4,3,0,1,10,84,74,0.881,2.47,0,243:13,2,0.5,1,123.0,-1.9,2.47,0.3,0,0,0,0,
91,86,Ivan Fedotov,27.0,PHI,G,3,1,0,1,1,10,53,43,0.811,4.95,0,121:09,0,0.0,1,195.0,-4.9,4.95,-0.2,0,0,0,0,
92,87,Magnus Hellberg,32.0,PIT,G,3,1,1,0,0,5,64,59,0.922,2.5,0,119:53,1,1.0,0,81.0,1.2,2.5,0.5,0,0,0,0,
93,88,Jesper Wallstedt,21.0,MIN,G,3,3,2,1,0,9,87,78,0.897,3.01,1,179:17,2,0.667,1,107.0,-0.6,3.01,0.4,0,0,0,0,
94,89,Yaroslav Askarov,21.0,NSH,G,2,1,1,0,0,2,35,33,0.943,1.47,0,81:40,1,1.0,0,59.0,1.4,1.47,0.3,0,0,0,0,
95,90,Chris Driedger,29.0,SEA,G,2,2,1,1,0,5,60,55,0.917,2.51,0,119:35,1,0.5,1,86.0,0.8,2.51,0.4,0,0,0,0,
96,91,Georgi Romanov,24.0,SJS,G,2,0,0,0,0,1,30,29,0.967,1.01,0,59:15,0,,0,34.0,1.9,1.01,0.4,0,0,0,0,
97,92,Matt Villalta,24.0,ARI,G,2,1,0,1,0,5,29,24,0.828,4.17,0,71:58,0,0.0,1,178.0,-2.2,4.17,-0.1,0,0,0,0,
98,93,Kenneth Appleby,28.0,NYI,G,1,0,0,0,0,2,8,6,0.75,6.0,0,20:00,0,,0,259.0,-1.2,6.0,-0.1,0,0,0,0,
99,94,Louis Domingue,31.0,NYR,G,1,1,1,0,0,1,26,25,0.962,1.0,0,60:00,1,1.0,0,40.0,1.5,1.0,0.3,0,0,0,0,
100,95,Michael Hutchinson,33.0,DET,G,1,1,0,1,0,3,36,33,0.917,3.11,0,57:48,1,1.0,0,86.0,0.5,3.11,0.3,0,0,0,0,
101,96,Matt Murray,25.0,DAL,G,1,1,1,0,0,0,23,23,1.0,0.0,1,60:00,1,1.0,0,0.0,2.2,0.0,0.4,0,0,0,0,
102,97,Yaniv Perets,23.0,CAR,G,1,0,0,0,0,0,1,1,1.0,0.0,0,12:46,0,,0,0.0,0.1,0.0,0.0,0,0,0,0,
103,98,Malcolm Subban,30.0,CBJ,G,1,1,0,1,0,3,35,32,0.914,3.0,0,60:00,1,1.0,0,89.0,0.4,3.0,0.2,0,0,0,0,
