Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
736,Devin Shore,25,CBJ,C,6,47,56,45.6,-1.7,35,41,46.1,-3.1,10.0,87.9,97.9,45.2,54.8,9:25,9:08,1,0,-1.5,6,50.0,shorede01
737,Nick Shore,27,TOT,C,63,358,465,43.5,-7.8,268,348,43.5,-6.5,5.8,95.9,101.7,26.0,74.0,9:11,7:38,14,16,-5.5,,,shoreni01
737,Nick Shore,27,WPG,C,42,212,277,43.4,-6.4,164,208,44.1,-4.4,4.3,95.8,100.1,37.6,62.4,9:09,7:22,11,7,-2.5,55,69.1,shoreni01
737,Nick Shore,27,TOR,C,21,146,188,43.7,-10.6,104,140,42.6,-10.3,8.1,96.0,104.1,16.3,83.7,9:13,8:11,3,9,-2.9,22,31.8,shoreni01
738,Jonas Siegenthaler,22,WSH,D,64,755,737,50.6,-2.6,574,540,51.5,-1.2,8.1,93.3,101.4,46.6,53.4,15:44,12:22,13,32,2.3,110,44.5,siegejo01
739,Dylan Sikura,24,CHI,C,9,84,93,47.5,-2.2,67,74,47.5,-1.0,7.7,94.8,102.5,54.2,45.8,9:54,9:53,2,0,-2.5,12,83.3,sikurdy01
740,Jakob Silfverberg,29,ANA,LW,66,841,852,49.7,2.0,629,650,49.2,1.1,10.6,89.3,99.9,51.7,48.3,17:41,13:30,40,32,-2.2,270,57.4,silfvja01
741,Radim Šimek,27,SJS,D,48,652,755,46.3,-6.2,471,566,45.4,-7.5,7.2,90.9,98.1,46.5,53.5,17:09,15:07,20,36,-6.6,87,46.0,simekra01
742,Wayne Simmonds,31,TOT,RW,68,758,847,47.2,0.9,567,613,48.1,1.3,6.6,91.1,97.7,48.1,51.9,14:55,12:05,27,18,-1.0,,,simmowa01
742,Wayne Simmonds,31,NJD,RW,61,676,768,46.8,0.7,507,554,47.8,1.0,6.7,91.1,97.8,48.0,52.0,15:10,12:09,24,17,0.3,178,61.8,simmowa01
